,precision,recall,f1-score,support
customer_support::Billing inquiry,0.11965811965811966,0.0875,0.10108303249097472,160.0
customer_support::Cancellation request,0.17791411042944785,0.17682926829268292,0.17737003058103976,164.0
customer_support::Product inquiry,0.17218543046357615,0.1625,0.16720257234726688,160.0
customer_support::Refund request,0.21764705882352942,0.21764705882352942,0.21764705882352942,170.0
customer_support::Technical issue,0.2081447963800905,0.27380952380952384,0.2365038560411311,168.0
internal_it::Access,0.9187592319054653,0.8735955056179775,0.8956083513318934,712.0
internal_it::Administrative rights,0.8646616541353384,0.6534090909090909,0.7443365695792881,176.0
internal_it::HR Support,0.8738404452690167,0.8626373626373627,0.8682027649769585,1092.0
internal_it::Hardware,0.807819748177601,0.895007342143906,0.8491814698711251,1362.0
internal_it::Internal Project,0.9037433155080213,0.8009478672985783,0.8492462311557789,211.0
internal_it::Miscellaneous,0.8314447592067988,0.8314447592067988,0.8314447592067988,706.0
internal_it::Purchase,0.944206008583691,0.8906882591093117,0.9166666666666666,247.0
internal_it::Storage,0.9425287356321839,0.8848920863309353,0.9128014842300557,278.0
accuracy,0.7620406707099536,0.7620406707099536,0.7620406707099536,0.7620406707099536
macro avg,0.6140425703209907,0.585454471090746,0.5974842190232699,5606.0
weighted avg,0.7637520884081408,0.7620406707099536,0.7614078536165507,5606.0
