,precision,recall,f1-score,support
internal_it::Access,0.8969359331476323,0.9044943820224719,0.9006993006993007,712.0
internal_it::Administrative rights,0.7540983606557377,0.7840909090909091,0.7688022284122563,176.0
internal_it::HR Support,0.8881516587677725,0.858058608058608,0.8728458313926409,1092.0
internal_it::Hardware,0.8671641791044776,0.8531571218795888,0.8601036269430051,1362.0
internal_it::Internal Project,0.8197424892703863,0.9052132701421801,0.8603603603603603,211.0
internal_it::Miscellaneous,0.8458274398868458,0.8470254957507082,0.8464260438782731,706.0
internal_it::Purchase,0.9094488188976378,0.9352226720647774,0.9221556886227545,247.0
internal_it::Storage,0.8877551020408163,0.9388489208633094,0.9125874125874126,278.0
accuracy,0.8699832775919732,0.8699832775919732,0.8699832775919732,0.8699832775919732
macro avg,0.8586404977214133,0.8782639224840691,0.8679975616120005,4784.0
weighted avg,0.8703654961585405,0.8699832775919732,0.8699415679094511,4784.0
