features,C,class_weight,validation_accuracy,validation_macro_f1,training_seconds
words,0.5,None,0.862876254180602,0.8603345552899512,0.9
words,0.5,balanced,0.8620401337792643,0.8584795039255733,0.9
words,1.0,None,0.8584866220735786,0.8551815780749221,1.1
words,1.0,balanced,0.8601588628762542,0.8567536414657909,1.2
words,2.0,None,0.852633779264214,0.8509575033188302,1.5
words,2.0,balanced,0.8557692307692307,0.8536861652798864,1.6
words_and_characters,0.5,None,0.8612040133779264,0.860739563457371,3.7
words_and_characters,0.5,balanced,0.8637123745819398,0.8627752465455437,3.9
words_and_characters,1.0,None,0.8589046822742475,0.8588695440752827,4.9
words_and_characters,1.0,balanced,0.8624581939799331,0.8622419551235267,5.5
words_and_characters,2.0,None,0.8553511705685619,0.8571178167325731,7.7
words_and_characters,2.0,balanced,0.8586956521739131,0.8597050982930906,7.9
